id,shortName,ibuMin,ibuMax,ibu,abvMin,abvMax,abv,srmMin,srmMax,srm,ogMin,ogMax,og,fgMin,fgMax,fg
1,English Pale,20,40,30,4.5,5.5,5,5,5,5,1.04,,1.04,1.008,1.016,1.012
2,English IPA,35,63,49,5,7,6,6,14,10,1.05,,1.05,1.012,1.018,1.015
3,Bitter,20,35,27.5,3,4.1,3.55,5,12,8.5,1.033,,1.033,1.006,1.012,1.009
4,Special Bitter,28,40,34,4.1,4.8,4.45,6,14,10,1.038,,1.038,1.006,1.012,1.009
5,ESB,30,45,37.5,4.8,5.8,5.3,8,14,11,1.046,,1.046,1.01,1.016,1.013
6,English Summer Ale,20,30,25,3.6,5,4.3,4,7,5.5,1.036,,1.036,1.006,1.012,1.009
7,Scottish Light,9,20,14.5,2.8,3.5,3.15,8,17,12.5,1.03,,1.03,1.006,1.012,1.009
8,Scottish Heavy,12,20,16,3.5,4,3.75,10,19,14.5,1.035,,1.035,1.01,1.014,1.012
9,Scottish Export,15,25,20,4,5.3,4.65,10,19,14.5,1.04,,1.04,1.01,1.018,1.014
10,English Pale Mild,10,20,15,3.2,4,3.6,8,17,12.5,1.03,,1.03,1.004,1.008,1.006
11,English Dark Mild,10,24,17,3.2,4,3.6,17,34,25.5,1.03,,1.03,1.004,1.008,1.006
12,English Brown,15,25,20,4,5.5,4.75,13,25,19,1.04,,1.04,1.008,1.014,1.011
13,Old Ale,30,65,47.5,6,9,7.5,12,30,21,1.058,,1.058,1.014,1.03,1.022
14,Strong Ale,30,65,47.5,7,11,9,8,21,14.5,1.06,,1.06,1.014,1.04,1.027
15,Scotch Ale,25,35,30,6.2,8,7.1,15,30,22.5,1.072,,1.072,1.016,1.028,1.022
16,British Imperial Stout,45,65,55,7,12,9.5,20,35,27.5,1.08,,1.08,1.02,1.03,1.025
17,British Barleywine,40,60,50,8.4,12,10.2,14,22,18,1.085,,1.085,1.024,1.028,1.026
18,Brown Porter,20,30,25,4.5,6,5.25,20,35,27.5,1.04,,1.04,1.006,1.014,1.01
19,Robust Porter,25,40,32.5,5,6.5,5.75,30,30,30,1.045,,1.045,1.008,1.016,1.012
20,Sweet Stout,15,25,20,3,6,4.5,40,40,40,1.045,,1.045,1.012,1.02,1.016
21,Oatmeal Stout,20,40,30,3.8,6,4.9,20,20,20,1.038,,1.038,1.008,1.02,1.014
22,Irish Red,20,28,24,4,4.5,4.25,11,18,14.5,1.04,,1.04,1.01,1.014,1.012
23,Dry Irish Stout,30,40,35,3.8,5,4.4,40,40,40,1.038,,1.038,1.008,1.012,1.01
24,Export Stout,30,60,45,5.7,9.3,7.5,40,40,40,1.052,,1.052,1.008,1.02,1.014
25,American Pale,30,42,36,4.5,5.6,5.05,6,14,10,1.044,,1.044,1.008,1.014,1.011
26,Wet Hop Ale,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
27,American/Belgian Pale,,,#DIV/0!,,,#DIV/0!,5,,5,,,#DIV/0!,,,#DIV/0!
28,American/Belgian Dark,,,#DIV/0!,,,#DIV/0!,16,16,16,,,#DIV/0!,,,#DIV/0!
29,American Strong Pale,40,50,45,5.5,6.3,5.9,6,14,10,1.05,,1.05,1.008,1.016,1.012
30,American IPA,50,70,60,6.3,7.5,6.9,6,14,10,1.06,,1.06,1.012,1.018,1.015
31,Imperial IPA,65,100,82.5,7.5,10.5,9,5,13,9,1.075,,1.075,1.012,1.02,1.016
32,Amber,30,40,35,4.5,6,5.25,11,18,14.5,1.048,,1.048,1.012,1.018,1.015
33,Imperial Red,55,85,70,7.9,10.5,9.2,10,15,12.5,1.08,,1.08,1.02,1.028,1.024
34,American Barleywine,60,100,80,8.4,12,10.2,11,22,16.5,1.09,,1.09,1.024,1.028,1.026
35,Wheatwine,45,85,65,8.4,12,10.2,8,15,11.5,1.088,,1.088,1.024,1.032,1.028
36,Blonde,15,25,20,4,5,4.5,3,7,5,1.045,,1.045,1.008,1.016,1.012
37,American Brown,25,45,35,4,6.4,5.2,15,26,20.5,1.04,,1.04,1.01,1.018,1.014
38,Smoke Porter,20,40,30,5,8.7,6.85,20,20,20,1.04,,1.04,1.006,1.014,1.01
39,Brett,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
40,Sour,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
41,Black Ale,50,70,60,6,7.5,6.75,35,35,35,1.056,,1.056,1.012,1.018,1.015
42,American Stout,35,60,47.5,5.7,8.8,7.25,40,40,40,1.05,,1.05,1.01,1.022,1.016
43,American Imperial Stout,50,80,65,7,12,9.5,40,40,40,1.08,,1.08,1.02,1.03,1.025
44,Stout,35,50,42.5,7,12,9.5,40,40,40,1.08,,1.08,1.02,1.03,1.025
45,KГ¶lsch,18,25,21.5,4.8,5.3,5.05,4,6,5,1.042,,1.042,1.006,1.01,1.008
46,Berlinerweisse,3,6,4.5,2.8,3.4,3.1,2,4,3,1.028,,1.028,1.004,1.006,1.005
47,Leipzig Gose,10,15,12.5,4.4,5.4,4.9,3,9,6,1.036,,1.036,1.008,1.012,1.01
48,Hefeweizen,10,15,12.5,4.9,5.5,5.2,3,9,6,1.047,,1.047,1.008,1.016,1.012
49,Kristallweizen,10,15,12.5,4.9,5.5,5.2,3,9,6,1.047,,1.047,1.008,1.016,1.012
50,Leichtesweizen,10,20,15,2.5,3.5,3,4,15,9.5,1.028,,1.028,1.004,1.008,1.006
51,Bernsteinfarbenesweizen,10,15,12.5,4.8,5.4,5.1,9,13,11,1.048,,1.048,1.008,1.016,1.012
52,Dunkelweizen,10,15,12.5,4.8,5.4,5.1,10,19,14.5,1.048,,1.048,1.008,1.016,1.012
53,Weizenbock,15,35,25,6.9,9.3,8.1,5,30,17.5,1.066,,1.066,1.016,1.028,1.022
54,Rauchbier,10,15,12.5,4.9,5.5,5.2,4,18,11,1.047,,1.047,1.008,1.016,1.012
55,Altbier,25,52,38.5,4.3,5.5,4.9,11,19,15,1.044,,1.044,1.008,1.014,1.011
56,Kellerbier,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
57,Flanders Red,15,25,20,4.8,6.5,5.65,12,20,16,1.044,,1.044,1.008,1.016,1.012
58,Belgian Dubbel,20,30,25,6.25,7.5,6.875,16,36,26,1.06,,1.06,1.012,1.016,1.014
59,Belgian Tripel,20,45,32.5,7,10,8.5,4,9,6.5,1.07,,1.07,1.01,1.018,1.014
60,Belgian Quad,25,50,37.5,9,14,11.5,8,20,14,1.084,,1.084,1.014,1.02,1.017
61,Belgian Blonde,15,30,22.5,6,7.8,6.9,4,7,5.5,1.054,,1.054,1.008,1.014,1.011
62,Belgian Pale,20,30,25,4,6,5,6,12,9,1.044,,1.044,1.008,1.014,1.011
63,Belgian Pale Strong,20,50,35,7,11,9,4,10,7,1.064,,1.064,1.012,1.024,1.018
64,Belgian Dark Strong,20,50,35,7,11,9,9,35,22,1.064,,1.064,1.012,1.024,1.018
65,Witbier,10,17,13.5,4.8,5.2,5,2,4,3,1.044,,1.044,1.006,1.01,1.008
66,Lambic,11,23,17,6.2,8.1,7.15,6,13,9.5,1.047,,1.047,1,1.01,1.005
67,Gueuze,11,23,17,6.8,8.6,7.7,6,13,9.5,1.044,,1.044,1,1.01,1.005
68,Fruit Lambic,15,21,18,5.6,8.6,7.1,,,#DIV/0!,1.04,,1.04,1.008,1.016,1.012
69,Belgian Table Beer,5,15,10,0.5,3.5,2,5,50,27.5,1.008,,1.008,1.004,1.034,1.019
70,Belgian Ale,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
71,Bi√®re de Garde,20,30,25,4.5,8,6.25,8,16,12,1.06,,1.06,1.012,1.024,1.018
72,Saison,20,40,30,4.5,8.5,6.5,4,14,9,1.055,,1.055,1.004,1.016,1.01
73,International Pale,30,42,36,4.5,5.5,5,6,14,10,1.044,,1.044,1.008,1.014,1.011
74,Austrailian Pale,20,40,30,4.2,6.2,5.2,5,14,9.5,1.04,,1.04,1.006,1.012,1.009
75,German Pilsener,25,40,32.5,4,5,4.5,3,4,3.5,1.044,,1.044,1.006,1.012,1.009
76,Bohemian Pilsener,30,45,37.5,4,5,4.5,3,7,5,1.044,,1.044,1.014,1.02,1.017
77,Leichtbier,16,24,20,2.5,3.6,3.05,2,4,3,1.026,,1.026,1.006,1.01,1.008
78,Helles,18,25,21.5,4.5,5.5,5,4,6,5,1.044,,1.044,1.008,1.012,1.01
79,Dortmunder,23,29,26,5,6,5.5,3,6,4.5,1.048,,1.048,1.01,1.014,1.012
80,Vienna Lager,22,28,25,4.8,5.4,5.1,12,16,14,1.046,,1.046,1.012,1.018,1.015
81,M√§rzen,18,25,21.5,5.3,5.9,5.6,4,15,9.5,1.05,,1.05,1.012,1.02,1.016
82,Oktoberfest,23,29,26,5,6,5.5,3,5,4,1.048,,1.048,1.01,1.014,1.012
