id,name,brewery_type,street,city,state,postal_code,country,longitude,latitude,phone,website_url,updated_at
1,Adirondack Toboggan Company Microbrewery,micro,202A W Main St,Gouverneur,New York,13642-1334,United States,-75.47489238,44.33237311,3157716313,http://www.adktoboggan.net,2018-08-24T15:37:58.899Z
2,Black Forest Brew Haus,brewpub,2015 New Hwy,Farmingdale,New York,11735-1103,United States,-73.41443291,40.7550515,6313919500,http://www.blackforestbrewhaus.com,2018-08-24T15:38:10.962Z
3,Blue Point Brewing Co,large,161 River Ave,Patchogue,New York,11772-3304,United States,-73.0216063,40.75913445,6314756944,http://www.bluepointbrewing.com,2018-08-24T15:38:13.401Z
4,Brown's Brewing Co,brewpub,50 Factory Hill Rd,North Hoosick,New York,12133,United States,-73.34515821,42.92661444,5182732337,http://www.brownsbrewing.com,2018-08-24T15:38:21.495Z
5,Carey's Brew House,brewpub,58 Bridge St,Corning,New York,14830-2239,United States,-77.06089704,42.15025771,6073775651,http://www.careysbrewhouse.com,2018-08-24T15:38:26.698Z
6,Copper City Brewing Company,micro,1111 Oneida St,Rome,New York,13440,United States,-75.43229951,43.20521338,3152818987,http://www.coppercitybrewing.com,2018-08-24T15:38:35.002Z
7,Diversion Brewing Co,micro,729 Wyncoop Creek Rd,Chemung,New York,14825-9755,United States,-76.62211,42.019871,6075429168,http://www.diversionbrewing.com,2018-08-24T15:38:44.350Z
8,Empire Brewing Co,brewpub,120 Walton St,Syracuse,New York,13202-1571,United States,-76.15406625,43.04804637,3156552337,http://www.empirebrew.com,2018-08-24T15:38:47.848Z
9,Erie Canal Brewing Company,micro,135 S Peterboro St,Canastota,New York,13032-1409,United States,-75.75153202,43.07857637,3155105001,http://www.eriecanalbrewingcompany.com,2018-08-24T15:38:49.380Z
10,Fairport Brewing Co,micro,99 S Main St,Fairport,New York,14450-2100,United States,-77.4416792,43.0988098,5857520613,http://www.fairportbrewing.com,2018-08-24T15:38:50.407Z
11,Flying Bison Brewing Co,micro,840 Seneca St,Buffalo,New York,14210-1414,United States,-78.8458326,42.8758185,7168731557,http://www.flyingbisonbrewing.com,2018-08-24T15:38:57.237Z
12,Glenmere Brewing Co,micro,55 Maple Ave,Florida,New York,10921-1124,United States,-74.360033,41.335404,8456511939,http://www.glenmerebrewingco.com,2018-08-24T15:39:06.969Z
13,"Greenport Harbor Brewing Co, LLC",brewpub,42155 Main Rd,Peconic,New York,11958-1502,United States,-72.4545703,41.0415525,6315139019,http://www.harborbrewing.com,2018-08-24T15:39:11.817Z
14,Gun Hill Brewing Co,micro,3227 Laconia Ave,Bronx,New York,10469-1403,United States,-73.855814,40.8721114,7188810010,http://www.gunhillbrewing.com,2018-08-24T15:39:13.763Z
